,TR2144|c0_g1_i1,GO:0032550,atp-dependent zinc metalloprotease ftsh chloroplastic-like isoform x1,,,,,,
,TR30033|c0_g1_i1,GO:0000338,pentatricopeptide repeat-containing protein mitochondrial,,,,,,
,TR30033|c0_g1_i1,GO:0006221,pentatricopeptide repeat-containing protein mitochondrial,,,,,,
,TR30033|c0_g1_i1,GO:0009639,pentatricopeptide repeat-containing protein mitochondrial,,,,,,
,TR30033|c0_g1_i1,GO:0016571,pentatricopeptide repeat-containing protein mitochondrial,,,,,,
Ribpr cpx,TR30085|c0_g1_i2,GO:0034645,60s ribosomal protein l15,,,,,,
,TR30085|c0_g1_i2,GO:0030529,60s ribosomal protein l15,,,,,,
,TR30085|c0_g1_i2,GO:0005198,60s ribosomal protein l15,,,,,,
Ribpr cpx,TR30110|c0_g1_i1,GO:0034645,60s ribosomal protein l21 isoform 1,,,,,,
,TR30110|c0_g1_i1,GO:0043231,60s ribosomal protein l21 isoform 1,,,,,,
,TR30110|c0_g1_i1,GO:0030529,60s ribosomal protein l21 isoform 1,,,,,,
,TR30110|c0_g1_i1,GO:0005198,60s ribosomal protein l21 isoform 1,,,,,,
,TR30114|c0_g1_i3,GO:0006568,aldolase-type tim barrel family protein,,,,,,
,TR30114|c0_g1_i3,GO:0016836,aldolase-type tim barrel family protein,,,,,,
,TR30122|c1_g2_i4,GO:0003676,histone h2a variant 1,,,,,,
,TR30122|c1_g2_i4,GO:0046983,histone h2a variant 1,,,,,,
,TR30122|c1_g2_i4,GO:0043231,histone h2a variant 1,,,,,,
,TR30122|c1_g2_i4,GO:0032993,histone h2a variant 1,,,,,,
,TR30122|c1_g2_i4,GO:0043232,histone h2a variant 1,,,,,,
,TR30123|c0_g1_i2,GO:0043234,atp binding microtubule motor family isoform 2,,,,,,
,TR30123|c0_g1_i2,GO:0015630,atp binding microtubule motor family isoform 2,,,,,,
,TR30123|c0_g1_i2,GO:0044763,atp binding microtubule motor family isoform 2,,,,,,
,TR30123|c0_g1_i2,GO:0097159,atp binding microtubule motor family isoform 2,,,,,,
,TR30123|c0_g1_i2,GO:0008152,atp binding microtubule motor family isoform 2,,,,,,
,TR30123|c0_g1_i2,GO:1901363,atp binding microtubule motor family isoform 2,,,,,,
,TR30123|c0_g1_i2,GO:0036094,atp binding microtubule motor family isoform 2,,,,,,
,TR30123|c0_g1_i2,GO:0044430,atp binding microtubule motor family isoform 2,,,,,,
,TR30149|c0_g1_i1,GO:0043169,dna-binding protein phosphatase 1 isoform 1,,,,,,
,TR30149|c0_g1_i1,GO:0002697,dna-binding protein phosphatase 1 isoform 1,,,,,,
,TR30149|c0_g1_i1,GO:0004721,dna-binding protein phosphatase 1 isoform 1,,,,,,
,TR30149|c0_g1_i1,GO:0003676,dna-binding protein phosphatase 1 isoform 1,,,,,,
,TR30149|c0_g1_i1,GO:0006464,dna-binding protein phosphatase 1 isoform 1,,,,,,
,TR30149|c0_g1_i1,GO:0043231,dna-binding protein phosphatase 1 isoform 1,,,,,,
,TR30149|c0_g1_i1,GO:0044444,dna-binding protein phosphatase 1 isoform 1,,,,,,
,TR30170|c0_g1_i1,GO:0031967,cytochrome c oxidase subunit 5b-like,,,,,,
,TR30170|c0_g1_i1,GO:0009055,cytochrome c oxidase subunit 5b-like,,,,,,
,TR30170|c0_g1_i1,GO:0015992,cytochrome c oxidase subunit 5b-like,,,,,,
,TR30176|c0_g1_i1,GO:0031976,pentatricopeptide repeat-containing protein at2g37230,,,,,,
,TR30176|c0_g1_i1,GO:0044434,pentatricopeptide repeat-containing protein at2g37230,,,,,,
Ribpr cpx,TR30189|c0_g1_i2,GO:0034645,60s ribosomal protein l9,,,,,,
,TR30189|c0_g1_i2,GO:0003723,60s ribosomal protein l9,,,,,,
,TR30189|c0_g1_i2,GO:0030529,60s ribosomal protein l9,,,,,,
,TR30189|c0_g1_i2,GO:0005198,60s ribosomal protein l9,,,,,,
,TR30198|c0_g1_i3,GO:0009620,adenine nucleotide alpha hydrolases-like superfamily protein,,,,,,
,TR30198|c0_g1_i3,GO:0003824,adenine nucleotide alpha hydrolases-like superfamily protein,,,,,,
ribpro cpx bg,TR30236|c1_g1_i2,GO:0009451,rrna processing protein ebp2,,,,,,
,TR30236|c1_g1_i2,GO:0043231,rrna processing protein ebp2,,,,,,
,TR30236|c1_g1_i2,GO:0022613,rrna processing protein ebp2,,,,,,
,TR30236|c1_g1_i2,GO:0043232,rrna processing protein ebp2,,,,,,
,TR30236|c1_g1_i2,GO:0006605,rrna processing protein ebp2,,,,,,
Ribpr cpx,TR30312|c0_g1_i1,GO:0034645,40s ribosomal protein s21,,,,,,
,TR30312|c0_g1_i1,GO:0030529,40s ribosomal protein s21,,,,,,
,TR30312|c0_g1_i1,GO:0005198,40s ribosomal protein s21,,,,,,
,TR30321|c1_g1_i1,GO:0006498,hypothetical protein POPTR_0009s16200g [Populus trichocarpa],,,,,,
,TR30321|c1_g1_i1,GO:0043231,hypothetical protein POPTR_0009s16200g [Populus trichocarpa],,,,,,
,TR30321|c1_g1_i1,GO:0051604,hypothetical protein POPTR_0009s16200g [Populus trichocarpa],,,,,,
,TR30321|c1_g1_i1,GO:0005911,hypothetical protein POPTR_0009s16200g [Populus trichocarpa],,,,,,
,TR30321|c1_g1_i1,GO:0044425,hypothetical protein POPTR_0009s16200g [Populus trichocarpa],,,,,,
,TR30321|c1_g1_i1,GO:0010646,hypothetical protein POPTR_0009s16200g [Populus trichocarpa],,,,,,
,TR30321|c1_g1_i1,GO:0031090,hypothetical protein POPTR_0009s16200g [Populus trichocarpa],,,,,,
,TR30321|c1_g1_i1,GO:0043094,hypothetical protein POPTR_0009s16200g [Populus trichocarpa],,,,,,
,TR30370|c0_g1_i1,GO:0043234,kinesin-like protein kif22-b,,,,,,
,TR30370|c0_g1_i1,GO:0015630,kinesin-like protein kif22-b,,,,,,
,TR30370|c0_g1_i1,GO:0044763,kinesin-like protein kif22-b,,,,,,
,TR30370|c0_g1_i1,GO:0097159,kinesin-like protein kif22-b,,,,,,
,TR30370|c0_g1_i1,GO:1901363,kinesin-like protein kif22-b,,,,,,
,TR30370|c0_g1_i1,GO:0036094,kinesin-like protein kif22-b,,,,,,
,TR30370|c0_g1_i1,GO:0044430,kinesin-like protein kif22-b,,,,,,
,TR30384|c2_g1_i2,GO:0005911,nucleobase-ascorbate transporter 3,,,,,,
,TR30384|c2_g1_i2,GO:0051234,nucleobase-ascorbate transporter 3,,,,,,
,TR30384|c2_g1_i2,GO:0044425,nucleobase-ascorbate transporter 3,,,,,,
,TR30384|c2_g1_i2,GO:0044763,nucleobase-ascorbate transporter 3,,,,,,
,TR30406|c0_g1_i1,GO:0006633,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0016861,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0009526,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0009863,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0006091,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0010243,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0044434,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0009694,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0009532,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0009620,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0006090,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0043067,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0045087,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0006544,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0006605,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0042743,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0009683,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0006753,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0006568,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0019685,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0009755,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0006732,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0035556,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0009696,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0000097,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30406|c0_g1_i1,GO:0019321,probable ribose-5-phosphate isomerase-like,,,,,,
,TR30409|c0_g2_i6,GO:0006796,atp serine threonine kinases isoform 1,,,,,,
,TR30409|c0_g2_i6,GO:0006464,atp serine threonine kinases isoform 1,,,,,,
,TR30409|c0_g2_i6,GO:0004672,atp serine threonine kinases isoform 1,,,,,,
,TR30409|c0_g2_i6,GO:0032550,atp serine threonine kinases isoform 1,,,,,,
,TR30472|c1_g1_i1,GO:0003676,uncharacterized protein loc100254941,,,,,,
,TR30473|c2_g2_i3,GO:0044238,glucan endo- -beta-glucosidase 2-like,,,,,,
,TR30473|c2_g2_i3,GO:0006950,glucan endo- -beta-glucosidase 2-like,,,,,,
,TR30473|c2_g2_i3,GO:0031225,glucan endo- -beta-glucosidase 2-like,,,,,,
,TR30473|c2_g2_i3,GO:0008422,glucan endo- -beta-glucosidase 2-like,,,,,,
,TR30494|c0_g1_i1,GO:0044238,gdsl esterase lipase exl3-like,,,,,,
,TR30494|c0_g1_i1,GO:0016788,gdsl esterase lipase exl3-like,,,,,,
,TR30503|c0_g1_i1,GO:0001871,uncharacterized protein loc100250418,,,,,,
,TR30536|c0_g1_i1,GO:0044425,auxin efflux carrier family protein isoform 2,,,,,,
,TR30536|c0_g1_i1,GO:0044763,auxin efflux carrier family protein isoform 2,,,,,,
,TR30539|c1_g2_i1,GO:0008152,growth-regulating factor 5 isoform 2,,,,,,
,TR30549|c0_g1_i1,GO:0032550,atp binding microtubule motor family protein isoform 1,,,,,,
,TR30549|c0_g1_i1,GO:0005875,atp binding microtubule motor family protein isoform 1,,,,,,
,TR30549|c0_g1_i1,GO:0043231,atp binding microtubule motor family protein isoform 1,,,,,,
,TR30549|c0_g1_i1,GO:0007349,atp binding microtubule motor family protein isoform 1,,,,,,
,TR30549|c0_g1_i1,GO:0048229,atp binding microtubule motor family protein isoform 1,,,,,,
,TR30549|c0_g1_i1,GO:0014070,atp binding microtubule motor family protein isoform 1,,,,,,
,TR30549|c0_g1_i1,GO:0016570,atp binding microtubule motor family protein isoform 1,,,,,,
,TR30549|c0_g1_i1,GO:0003774,atp binding microtubule motor family protein isoform 1,,,,,,
,TR30549|c0_g1_i1,GO:1902410,atp binding microtubule motor family protein isoform 1,,,,,,
,TR30549|c0_g1_i1,GO:0044444,atp binding microtubule motor family protein isoform 1,,,,,,
,TR30549|c0_g1_i1,GO:0007017,atp binding microtubule motor family protein isoform 1,,,,,,
,TR30549|c0_g1_i1,GO:0015631,atp binding microtubule motor family protein isoform 1,,,,,,
,TR30558|c0_g1_i1,GO:0017004,protein sco1 homolog mitochondrial,,,,,,
,TR30558|c0_g1_i1,GO:0046914,protein sco1 homolog mitochondrial,,,,,,
,TR30558|c0_g1_i1,GO:0019866,protein sco1 homolog mitochondrial,,,,,,
,TR30558|c0_g1_i1,GO:0000041,protein sco1 homolog mitochondrial,,,,,,
,TR30558|c0_g1_i1,GO:0046916,protein sco1 homolog mitochondrial,,,,,,
,TR30561|c0_g1_i1,GO:0008104,oligopeptide transporter 7 isoform 1,,,,,,
,TR30561|c0_g1_i1,GO:0015833,oligopeptide transporter 7 isoform 1,,,,,,
,TR30561|c0_g1_i1,GO:0044425,oligopeptide transporter 7 isoform 1,,,,,,
,TR30561|c0_g1_i1,GO:0015197,oligopeptide transporter 7 isoform 1,,,,,,
,TR30561|c0_g1_i1,GO:0044763,oligopeptide transporter 7 isoform 1,,,,,,
,TR30566|c0_g1_i5,GO:0044260,forkhead-associated domain-containing,,,,,,
,"TR37185|c6_g1_i1, TR31901|c0_g1_i1, TR36131|c0_g1_i1, TR24169|c0_g1_i1, TR32513|c1_g1_i1, TR34994|c5_g1_i1, TR34862|c3_g1_i1, TR26541|c0_g1_i2, TR35569|c1_g2_i1, TR38503|c5_g1_i4, TR38796|c4_g1_i1, TR34958|c2_g2_i3, TR13839|c0_g1_i2, TR26271|c0_g1_i1, TR30566|c0_g1_i5, TR34241|c4_g1_i1",GO:0016458,forkhead-associated domain-containing,,,,,,
,TR30566|c0_g1_i5,GO:0007275,forkhead-associated domain-containing,,,,,,
,TR30566|c0_g1_i5,GO:0090304,forkhead-associated domain-containing,,,,,,
,TR30566|c0_g1_i5,GO:0048856,forkhead-associated domain-containing,,,,,,
,TR30566|c0_g1_i5,GO:0044710,forkhead-associated domain-containing,,,,,,
,TR30566|c0_g1_i5,GO:0040029,forkhead-associated domain-containing,,,,,,
,TR30587|c0_g1_i2,GO:0044424,arginine methyltransferase 11,,,,,,
,TR30587|c0_g1_i2,GO:0008213,arginine methyltransferase 11,,,,,,
,TR30587|c0_g1_i2,GO:0008168,arginine methyltransferase 11,,,,,,
,TR30657|c1_g1_i3,GO:0019538,serine carboxypeptidase-like 18-like,,,,,,
,TR30657|c1_g1_i3,GO:0004180,serine carboxypeptidase-like 18-like,,,,,,
,TR30702|c0_g2_i1,GO:0003676,protein ultrapetala 1-like,,,,,,
,TR30703|c3_g1_i1,GO:0006796,leucine-rich repeat protein kinase family protein isoform 1,,,,,,
,TR30703|c3_g1_i1,GO:0016301,leucine-rich repeat protein kinase family protein isoform 1,,,,,,
,TR30703|c3_g1_i1,GO:0006464,leucine-rich repeat protein kinase family protein isoform 1,,,,,,
,TR30703|c3_g1_i1,GO:1902410,leucine-rich repeat protein kinase family protein isoform 1,,,,,,
,TR30703|c3_g1_i1,GO:0032550,leucine-rich repeat protein kinase family protein isoform 1,,,,,,
,TR30767|c0_g1_i1,GO:0000280,non-smc condensin subunit family protein,,,,,,
,TR30767|c0_g1_i1,GO:0051276,non-smc condensin subunit family protein,,,,,,
,TR30767|c0_g1_i1,GO:0043231,non-smc condensin subunit family protein,,,,,,
,TR30767|c0_g1_i1,GO:0005102,non-smc condensin subunit family protein,,,,,,
,TR30767|c0_g1_i1,GO:0022402,non-smc condensin subunit family protein,,,,,,
,TR30783|c0_g1_i1,GO:0044425,uncharacterized protein loc100779100,,,,,,
,TR30783|c0_g1_i1,GO:0051234,uncharacterized protein loc100779100,,,,,,
,TR30783|c0_g1_i1,GO:0044464,uncharacterized protein loc100779100,,,,,,
,TR30802|c0_g1_i1,GO:0043170,double clp-n motif-containing p-loop nucleoside triphosphate hydrolases superfamily,,,,,,
,TR30802|c0_g1_i1,GO:0003824,double clp-n motif-containing p-loop nucleoside triphosphate hydrolases superfamily,,,,,,
Ribpr cpx,TR30805|c0_g1_i2,GO:0030529,small nuclear ribonucleoprotein,,,,,,
,TR30805|c0_g1_i2,GO:0019028,small nuclear ribonucleoprotein,,,,,,
,TR30805|c0_g1_i2,GO:0006396,small nuclear ribonucleoprotein,,,,,,
,TR30811|c0_g1_i1,GO:0017111,abc transporter g family member 4-like,,,,,,
,TR30811|c0_g1_i1,GO:0032550,abc transporter g family member 4-like,,,,,,
,TR30811|c0_g1_i1,GO:0009154,abc transporter g family member 4-like,,,,,,
,TR30880|c0_g1_i1,GO:0044267,heat shock 70 kda mitochondrial-like,,,,,,
,TR30880|c0_g1_i1,GO:0032550,heat shock 70 kda mitochondrial-like,,,,,,
,TR30880|c0_g1_i1,GO:0005515,heat shock 70 kda mitochondrial-like,,,,,,
,TR30907|c0_g1_i3,GO:0016787,stem 28 kda glycoprotein,,,,,,
,TR30907|c0_g1_i3,GO:0008152,stem 28 kda glycoprotein,,,,,,
,TR30935|c0_g2_i1,GO:0006812,uncharacterized protein loc103433973,,,,,,
,TR30935|c0_g2_i1,GO:0043169,uncharacterized protein loc103433973,,,,,,
Ribpr cpx,TR30999|c0_g1_i2,GO:0036094,40s ribosomal protein s24-1-like,,,,,,
,TR30999|c0_g1_i2,GO:0034645,40s ribosomal protein s24-1-like,,,,,,
,TR30999|c0_g1_i2,GO:0030529,40s ribosomal protein s24-1-like,,,,,,
,TR30999|c0_g1_i2,GO:0005198,40s ribosomal protein s24-1-like,,,,,,
,TR31019|c2_g1_i1,GO:0060918,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0006073,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0032550,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0071555,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0032535,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0006464,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0051301,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0010073,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0044425,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0006796,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0016301,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0009653,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0042546,leucine-rich repeat protein kinase family protein,,,,,,
,TR31019|c2_g1_i1,GO:0003006,leucine-rich repeat protein kinase family protein,,,,,,
,TR31043|c1_g1_i1,GO:0046872,letm1 and ef-hand domain-containing protein 1,,,,,,
,TR31043|c1_g1_i1,GO:0043231,letm1 and ef-hand domain-containing protein 1,,,,,,
ribpr cpx,TR31060|c0_g1_i1,GO:0000398,arm repeat superfamily protein,,,,,,
,TR31060|c0_g1_i1,GO:0030529,arm repeat superfamily protein,,,,,,
,TR31083|c1_g1_i5,GO:0016104,cycloartenol synthase 1 isoform partial,,,,,,
,TR31083|c1_g1_i5,GO:0006633,cycloartenol synthase 1 isoform partial,,,,,,
,TR31083|c1_g1_i5,GO:0031559,cycloartenol synthase 1 isoform partial,,,,,,
,TR31083|c1_g1_i5,GO:0043231,cycloartenol synthase 1 isoform partial,,,,,,
,TR31083|c1_g1_i5,GO:0006779,cycloartenol synthase 1 isoform partial,,,,,,
,TR31083|c1_g1_i5,GO:0006090,cycloartenol synthase 1 isoform partial,,,,,,
,TR31083|c1_g1_i5,GO:0009668,cycloartenol synthase 1 isoform partial,,,,,,
,TR31083|c1_g1_i5,GO:0048229,cycloartenol synthase 1 isoform partial,,,,,,
,TR31083|c1_g1_i5,GO:0006694,cycloartenol synthase 1 isoform partial,,,,,,
,TR31083|c1_g1_i5,GO:0046471,cycloartenol synthase 1 isoform partial,,,,,,
,TR31083|c1_g1_i5,GO:0016109,cycloartenol synthase 1 isoform partial,,,,,,
,TR31085|c0_g1_i2,GO:0044710,radical sam,,,,,,
,TR31085|c0_g1_i2,GO:0016628,radical sam,,,,,,
,TR31085|c0_g1_i2,GO:0016070,radical sam,,,,,,
,TR31085|c0_g1_i2,GO:0051536,radical sam,,,,,,
,TR31103|c0_g1_i2,GO:0016874,biotin carboxyl carrier protein subunit of of het-accase isoform 3,,,,,,
,TR31119|c0_g1_i2,GO:0046914,lacasse diphenol oxidase,,,,,,
,TR31119|c0_g1_i2,GO:0016682,lacasse diphenol oxidase,,,,,,
,TR31119|c0_g1_i2,GO:0009808,lacasse diphenol oxidase,,,,,,
,TR31119|c0_g1_i2,GO:0005576,lacasse diphenol oxidase,,,,,,
Ribpr cpx,TR31128|c0_g2_i2,GO:0030529,60s ribosomal protein l24-2,,,,,,
,TR31145|c0_g1_i1,GO:0009532,bifunctional purine biosynthesis,,,,,,
,TR31145|c0_g1_i1,GO:0016742,bifunctional purine biosynthesis,,,,,,
,TR31145|c0_g1_i1,GO:0019238,bifunctional purine biosynthesis,,,,,,
,TR31145|c0_g1_i1,GO:0006221,bifunctional purine biosynthesis,,,,,,
,TR31145|c0_g1_i1,GO:0006163,bifunctional purine biosynthesis,,,,,,
,TR31178|c1_g3_i1,GO:0032991,small nuclear ribonucleoprotein associated protein b,,,,,,
,TR31178|c1_g3_i1,GO:0003676,small nuclear ribonucleoprotein associated protein b,,,,,,
,TR31178|c1_g3_i1,GO:0043231,small nuclear ribonucleoprotein associated protein b,,,,,,
,TR31178|c1_g3_i1,GO:0019028,small nuclear ribonucleoprotein associated protein b,,,,,,
,TR31191|c0_g1_i8,GO:0010468,b3 domain-containing protein,,,,,,
,TR31191|c0_g1_i8,GO:0003676,b3 domain-containing protein,,,,,,
,TR31191|c0_g1_i8,GO:0034645,b3 domain-containing protein,,,,,,
,TR31191|c0_g1_i8,GO:0043231,b3 domain-containing protein,,,,,,
,TR31281|c0_g1_i1,GO:0003824,alpha beta-hydrolases superfamily protein,,,,,,
RNA mod,TR31283|c0_g1_i1,GO:0009451,60s ribosomal protein l11,,,,,,
,TR31283|c0_g1_i1,GO:0003723,60s ribosomal protein l11,,,,,,
,TR31283|c0_g1_i1,GO:0034645,60s ribosomal protein l11,,,,,,
,TR31283|c0_g1_i1,GO:0009536,60s ribosomal protein l11,,,,,,
,TR31283|c0_g1_i1,GO:0015934,60s ribosomal protein l11,,,,,,
,TR31283|c0_g1_i1,GO:0005911,60s ribosomal protein l11,,,,,,
,TR31283|c0_g1_i1,GO:0005198,60s ribosomal protein l11,,,,,,
,TR31379|c0_g1_i2,GO:0036094,nb-arc domain-containing disease resistance isoform 2,,,,,,
,TR31379|c0_g1_i2,GO:0097159,nb-arc domain-containing disease resistance isoform 2,,,,,,
,TR31379|c0_g1_i2,GO:1901363,nb-arc domain-containing disease resistance isoform 2,,,,,,
,TR31407|c0_g2_i1,GO:0044425,cytochrome b561 ferric reductase transmembrane family,,,,,,
Ribpr cpx,TR31408|c2_g2_i1,GO:0034645,60s ribosomal protein l12-like,,,,,,
,TR31408|c2_g2_i1,GO:0030529,60s ribosomal protein l12-like,,,,,,
,TR31408|c2_g2_i1,GO:0005198,60s ribosomal protein l12-like,,,,,,
,TR31457|c0_g1_i3,GO:0044267,calnexin 1,,,,,,
,TR31457|c0_g1_i3,GO:0046872,calnexin 1,,,,,,
,TR31457|c0_g1_i3,GO:0005515,calnexin 1,,,,,,
,TR31457|c0_g1_i3,GO:0043231,calnexin 1,,,,,,
,TR31469|c0_g1_i1,GO:0004672,shaggy-like kinase 13 isoform 1,,,,,,
,TR31469|c0_g1_i1,GO:0006468,shaggy-like kinase 13 isoform 1,,,,,,
,TR31469|c0_g1_i1,GO:0044444,shaggy-like kinase 13 isoform 1,,,,,,
,TR31469|c0_g1_i1,GO:0032550,shaggy-like kinase 13 isoform 1,,,,,,
,TR31481|c0_g1_i1,GO:0016072,uncharacterized protein loc103336946,,,,,,
,TR31481|c0_g1_i1,GO:0003676,uncharacterized protein loc103336946,,,,,,
,TR31481|c0_g1_i1,GO:0090501,uncharacterized protein loc103336946,,,,,,
,TR31481|c0_g1_i1,GO:0016891,uncharacterized protein loc103336946,,,,,,
,TR31522|c0_g2_i1,GO:0043231,wd-40 repeat-containing protein msi3-like,,,,,,
,TR31541|c0_g1_i1,GO:0003824,apyrase 1,,,,,,
,TR31548|c0_g1_i3,GO:0005515,grpe protein mitochondrial,,,,,,
,TR31548|c0_g1_i3,GO:0008152,grpe protein mitochondrial,,,,,,
,TR31548|c0_g1_i3,GO:0009536,grpe protein mitochondrial,,,,,,
,TR31548|c0_g1_i3,GO:0044446,grpe protein mitochondrial,,,,,,
,TR31548|c0_g1_i3,GO:0005739,grpe protein mitochondrial,,,,,,
,TR31572|c0_g1_i1,GO:0034728,protein set-like,,,,,,
,TR31572|c0_g1_i1,GO:0043231,protein set-like,,,,,,
,TR31595|c0_g1_i2,GO:0044444,3 -5 -exoribonuclease family protein isoform 2,,,,,,
,TR31595|c0_g1_i2,GO:0090304,3 -5 -exoribonuclease family protein isoform 2,,,,,,
,TR31595|c0_g1_i2,GO:0004518,3 -5 -exoribonuclease family protein isoform 2,,,,,,
,TR31599|c2_g1_i1,GO:0003676,40s ribosomal protein,,,,,,
,TR31599|c2_g1_i1,GO:0034645,40s ribosomal protein,,,,,,
,TR31599|c2_g1_i1,GO:0005198,40s ribosomal protein,,,,,,
,TR31599|c2_g1_i1,GO:0044391,40s ribosomal protein,,,,,,
Ribpr cpx,TR31603|c0_g1_i2,GO:0034645,40s ribosomal protein s12-like isoform x1,,,,,,
,TR31603|c0_g1_i2,GO:0030529,40s ribosomal protein s12-like isoform x1,,,,,,
,TR31603|c0_g1_i2,GO:0005198,40s ribosomal protein s12-like isoform x1,,,,,,
,TR31630|c0_g2_i1,GO:0009532,3-dehydroquinate chloroplastic-like,,,,,,
,TR31630|c0_g2_i1,GO:0006743,3-dehydroquinate chloroplastic-like,,,,,,
,TR31630|c0_g2_i1,GO:0008652,3-dehydroquinate chloroplastic-like,,,,,,
,TR31630|c0_g2_i1,GO:0016838,3-dehydroquinate chloroplastic-like,,,,,,
,TR31640|c0_g1_i2,GO:0016773,galacturonic acid kinase isoform 2,,,,,,
,TR31640|c0_g1_i2,GO:0016310,galacturonic acid kinase isoform 2,,,,,,
,TR31640|c0_g1_i2,GO:0032550,galacturonic acid kinase isoform 2,,,,,,
,TR31640|c0_g1_i2,GO:0019318,galacturonic acid kinase isoform 2,,,,,,
,TR31640|c0_g1_i2,GO:0044424,galacturonic acid kinase isoform 2,,,,,,
,TR31663|c0_g1_i1,GO:0009526,clp protease-related protein chloroplastic-like,,,,,,
,TR31663|c0_g1_i1,GO:0019538,clp protease-related protein chloroplastic-like,,,,,,
,TR31663|c0_g1_i1,GO:0009532,clp protease-related protein chloroplastic-like,,,,,,
,TR31663|c0_g1_i1,GO:0016787,clp protease-related protein chloroplastic-like,,,,,,
rib bioge,TR31675|c0_g1_i1,GO:0000959,polyribonucleotide nucleotidyltransferase mitochondrial,,,,,,
ribpr cpx bg,TR31675|c0_g1_i1,GO:0016779,polyribonucleotide nucleotidyltransferase mitochondrial,,,,,,
,TR31675|c0_g1_i1,GO:0006396,polyribonucleotide nucleotidyltransferase mitochondrial,,,,,,
,TR31675|c0_g1_i1,GO:0043231,polyribonucleotide nucleotidyltransferase mitochondrial,,,,,,
,TR31675|c0_g1_i1,GO:0003676,polyribonucleotide nucleotidyltransferase mitochondrial,,,,,,
,TR31675|c0_g1_i1,GO:0090501,polyribonucleotide nucleotidyltransferase mitochondrial,,,,,,
,TR31675|c0_g1_i1,GO:0006401,polyribonucleotide nucleotidyltransferase mitochondrial,,,,,,
,TR31675|c0_g1_i1,GO:0006606,polyribonucleotide nucleotidyltransferase mitochondrial,,,,,,
,TR31675|c0_g1_i1,GO:0008408,polyribonucleotide nucleotidyltransferase mitochondrial,,,,,,
,TR31675|c0_g1_i1,GO:0042254,polyribonucleotide nucleotidyltransferase mitochondrial,,,,,,
,TR31675|c0_g1_i1,GO:0006399,polyribonucleotide nucleotidyltransferase mitochondrial,,,,,,
,TR31696|c1_g1_i1,GO:0043231,auxin-responsive protein iaa26-like,,,,,,
,TR31696|c1_g1_i1,GO:0034645,auxin-responsive protein iaa26-like,,,,,,
